漢字検定二級,"『慶事』が重なり、みんなでお祝いをしました。", "『ケイジ』が重なり、みんなでお祝いをしました。"
漢字検定二級,"今日は『慶弔』休暇を取って、結婚式に出席します。", "今日は『ケイチョウ』休暇を取って、結婚式に出席します。"
漢字検定二級,"彼は『功績』を認められ、昇進しました。", "彼は『コウセキ』を認められ、昇進しました。"
漢字検定二級,"『勲章』を授与された彼は、とても誇らしげでした。", "『クンショウ』を授与された彼は、とても誇らしげでした。"
漢字検定二級,"『謹慎』期間中は、外出を控えていました。", "『キンシン』期間中は、外出を控えていました。"
漢字検定二級,"彼はとても『謹厳』な態度で会議に臨みました。", "彼はとても『キンゲン』な態度で会議に臨みました。"
漢字検定二級,"『寛大』な心で、彼の失敗を許しました。", "『カンダイ』な心で、彼の失敗を許しました。"
漢字検定二級,"『寛容』な社会を目指して、活動しています。", "『カンヨウ』な社会を目指して、活動しています。"
漢字検定二級,"『帰還』を祝うパーティーを開きました。", "『キカン』を祝うパーティーを開きました。"
漢字検定二級,"紛失した財布が『帰還』しました。", "紛失した財布が『キカン』しました。"
漢字検定二級,"彼は『奇抜』なファッションで街を歩きました。", "彼は『キバツ』なファッションで街を歩きました。"
漢字検定二級,"『奇想天外』なアイデアに、みんな驚きました。", "『キソウテンガイ』なアイデアに、みんな驚きました。"
漢字検定二級,"『興味』のある分野について、もっと知りたいと思いました。", "『キョウミ』のある分野について、もっと知りたいと思いました",
漢字検定二級,"『興味津々』で、新しいおもちゃで遊びました。", "『キョウミシンシン』で、新しいおもちゃで遊びました。"
漢字検定二級,"先生の『教訓』を胸に刻みました。", "先生の『キョウクン』を胸に刻みました。"
漢字検定二級,"『教養』を深めるために、読書を続けています。", "『キョウヨウ』を深めるために、読書を続けています。"
漢字検定二級,"『競争』に勝ち、優勝することができました。", "『キョウソウ』に勝ち、優勝することができました。"
漢字検定二級,"『競争率』の高い大学を受験しました。", "『キョウソウリツ』の高い大学を受験しました。"
漢字検定二級,"『驚愕』の事実が明らかになりました。", "『キョウガク』の事実が明らかになりました。"
漢字検定二級,"彼女の言葉に『驚嘆』しました。", "彼女の言葉に『キョウタン』しました。
